Identifier,Right ascension,Declination,Constellation,Distance (kpc)
FSR 9,18h 28m 30.6s,-31° 54′ 24″,Sagittarius,6.9
FSR 19,17h 35m 38.4s,-21° 04′ 12″,Ophiuchus,7.2
FSR 25,17h 41m 43.2s,-19° 34′ 16″,Ophiuchus,7.0
FSR 190,20h 05m 31.3s,+33° 34′ 09″,Cygnus,10.0
FSR 584,02h 27m 15s,+61° 37′ 28″,Cassiopeia,1.4
FSR 1716 (VVV CL005),16h 10m 30.0s,-53° 44′ 56″,Norma,7.5
FSR 1758,17h 31m 12s,-39° 48′ 30″,Scorpius,11.5
FSR 1767,17h 35m 43.0s,-36° 21′ 28″,Scorpius,10.6
FSR 1775,17h 56m 05.3s,-36° 33′ 57″,Scorpius,8.9
FSR 1776 (Minniti 23),17h 54m 14.40s,-36° 09′ 08.64″,Scorpius,7.24
Omega Centauri,13h 26m 47.24s,-47° 28′ 46.5″,Centaurus,4.84
47 Tucanae,00h 24m 05.67s,-72° 04′ 52.6″,Tucana,4.5
M2,21h 33m 28.01s,-00° 49′ 23.4″,Aquarius,17.0
M3,13h 42m 11.62s,+28° 22′ 38.2″,Canes Venatici,10.4
M4,16h 23m 35.36s,-26° 31′ 32.7″,Scorpius,2.2
M5,15h 18m 33.51s,+02° 04′ 54.9″,Serpens,7.5
M9,17h 19m 11.53s,-18° 30′ 58.2″,Ophiuchus,7.9
M10,16h 57m 09.03s,-04° 06′ 00.6″,Ophiuchus,4.4
M12,16h 47m 14.18s,-01° 56′ 54.7″,Ophiuchus,5.04
M13,16h 41m 41.37s,+36° 27′ 36.2″,Hercules,6.8
M14,17h 37m 36.10s,-03° 14′ 45.3″,Ophiuchus,9.3
M15,21h 29m 58.33s,+12° 10′ 01.1″,Pegasus,10.944
M19,17h 02m 37.80s,-26° 16′ 04.7″,Ophiuchus,8.8
M22,18h 36m 23.97s,-23° 54′ 14.5″,Sagittarius,3.2
M28,18h 24m 32.81s,-24° 52′ 11.2″,Sagittarius,5.5
M30,21h 40m 22.12s,-23° 10′ 47.5″,Capricornus,8.3
M53,13h 12m 55.07s,+18° 10′ 05.4″,Coma Berenices,18.0
M55,19h 39m 59.71s,-30° 57′ 53.1″,Sagittarius,5.4
M56,19h 16m 35.57s,+30° 11′ 00.5″,Lyra,10.1
M62,17h 01m 12.80s,-30° 06′ 49.4″,Ophiuchus,6.8
M68,12h 39m 27.99s,-26° 44′ 38.6″,Hydra,10.3
M69,18h 31m 23.10s,-32° 20′ 53.1″,Sagittarius,8.8
M70,18h 43m 12.76s,-32° 17′ 31.6″,Sagittarius,9.0
M71,19h 53m 46.49s,+18° 46′ 45.1″,Sagitta,4.0
M72,20h 53m 27.80s,-12° 32′ 13.7″,Aquarius,16.73
M75,20h 06m 04.75s,-21° 55′ 16.2″,Sagittarius,20.9
M79,05h 24m 11.09s,-24° 31′ 28.0″,Lepus,12.9
M80,16h 17m 02.41s,-22° 58′ 33.9″,Scorpius,10.0
M92,17h 17m 07.35s,+43° 08′ 09.4″,Hercules,8.3
M107,16h 32m 31.86s,-13° 03′ 13.3″,Ophiuchus,6.4
IC 1257,17h 27m 08.5s,-07° 05′ 35″,Ophiuchus,25.0
IC 4499,15h 00m 18.57s,-82° 12′ 49.6″,Apus,15.0
NGC 288,00h 52m 46.37s,-26° 34′ 58.7″,Sculptor,8.8
NGC 362,01h 03m 14.26s,-70° 50′ 55.6″,Tucana,8.5
NGC 1261,03h 12m 16.21s,-55° 12′ 59.2″,Horologium,16.4
NGC 1851,05h 14m 06.53s,-40° 02′ 48.8″,Columba,12.1
NGC 2298,06h 48m 59.41s,-36° 00′ 19.1″,Puppis,10.7
NGC 2419,07h 38m 08.47s,+38° 52′ 56.8″,Lynx,84.2
NGC 2808,09h 12m 03.05s,-64° 51′ 48.6″,Carina,9.6
NGC 3201,10h 17m 36.82s,-46° 24′ 44.9″,Vela,5.0
NGC 4147,12h 10m 06.30s,+18° 32′ 33.5″,Coma Berenices,19.0
NGC 4372,12h 25m 45.40s,-72° 39′ 32.7″,Musca,5.8
NGC 4833,12h 59m 34.46s,-70° 52′ 32.2″,Musca,6.6
NGC 5053,13h 16m 27.09s,+17° 42′ 00.5″,Coma Berenices,17.4
NGC 5286,13h 46m 26.81s,-51° 22′ 25.7″,Centaurus,11.0
NGC 5466,14h 05m 27.29s,+28° 32′ 04.0″,Boötes,15.9
NGC 5634,14h 29m 37.23s,-05° 58′ 35.1″,Virgo,25.2
NGC 5694,14h 39m 36.29s,-26° 32′ 20.2″,Hydra,35.0
NGC 5824,15h 03m 58.63s,-33° 04′ 04.8″,Lupus,32.0
NGC 5897,15h 17m 24.50s,-21° 00′ 37.0″,Libra,7.4
NGC 5927,15h 28m 00.69s,-50° 40′ 22.5″,Lupus,7.7
NGC 5946,15h 35m 28.52s,-50° 39′ 34.8″,Norma,10.6
NGC 5986,15h 46m 03.25s,-37° 47′ 10.6″,Lupus,10.4
NGC 6101,16h 25m 48.12s,-72° 12′ 06.9″,Apus,14.6
NGC 6144,16h 27m 13.86s,-26° 01′ 24.6″,Scorpius,8.9
NGC 6139,16h 27m 40.37s,-38° 50′ 55.7″,Scorpius,10.1
NGC 6229,16h 46m 58.84s,+47° 31′ 39.9″,Hercules,30.5
NGC 6235,16h 53m 25.31s,-22° 10′ 38.8″,Ophiuchus,11.5
NGC 6256,16h 59m 32.62s,-37° 07′ 17.0″,Scorpius,10.3
NGC 6284,17h 04m 28.65s,-24° 45′ 53.5″,Ophiuchus,15.3
NGC 6287,17h 05m 09.13s,-22° 42′ 29.6″,Ophiuchus,9.3
NGC 6293,17h 10m 10.20s,-26° 34′ 55.5″,Ophiuchus,9.5
NGC 6304,17h 14m 32.25s,-29° 27′ 43.7″,Ophiuchus,5.9
NGC 6316,17h 16m 37.30s,-28° 08′ 24.2″,Ophiuchus,10.4
NGC 6325,17h 17m 59.21s,-23° 45′ 57.6″,Ophiuchus,7.8
NGC 6342,17h 21m 10.08s,-19° 35′ 14.4″,Ophiuchus,8.5
NGC 6356,17h 23m 34.96s,-17° 48′ 47.0″,Ophiuchus,15.2
NGC 6355,17h 23m 58.60s,-26° 21′ 12.3″,Ophiuchus,9.5
NGC 6352,17h 25m 29.11s,-48° 25′ 19.8″,Ara,5.6
NGC 6362,17h 31m 54.99s,-67° 02′ 54.0″,Ara,7.6
NGC 6366,17h 27m 44.24s,-05° 04′ 47.5″,Ophiuchus,3.6
NGC 6380,17h 34m 28.00s,-39° 04′ 09.0″,Scorpius,10.9
NGC 6388,17h 36m 17.23s,-44° 44′ 06.9″,Scorpius,10.0
NGC 6397,17h 40m 42.04s,-53° 40′ 26.3″,Ara,2.4
NGC 6401,17h 38m 36.60s,-23° 54′ 34.2″,Ophiuchus,10.6
NGC 6426,17h 44m 54.65s,+03° 10′ 12.5″,Ophiuchus,20.6
NGC 6440,17h 48m 52.70s,-20° 21′ 36.9″,Sagittarius,8.5
NGC 6441,17h 50m 13.03s,-37° 03′ 04.6″,Scorpius,13.5
NGC 6453,17h 50m 51.70s,-34° 35′ 57.0″,Scorpius,11.6
NGC 6496,17h 59m 02.84s,-44° 15′ 57.4″,Scorpius,11.3
NGC 6517,18h 01m 50.52s,-08° 57′ 31.6″,Ophiuchus,10.6
NGC 6522,18h 03m 34.02s,-30° 02′ 02.1″,Sagittarius,7.7
NGC 6528,18h 04m 49.64s,-30° 03′ 21.8″,Sagittarius,7.9
NGC 6535,18h 03m 50.51s,-00° 17′ 51.5″,Serpens,6.7
NGC 6539,18h 04m 49.68s,-07° 35′ 09.0″,Serpens,7.8
NGC 6540,18h 06m 08.60s,-27° 45′ 55.0″,Sagittarius,5.3
NGC 6541,18h 08m 02.28s,-43° 42′ 53.6″,Corona Australis,7.0
NGC 6544,18h 07m 20.58s,-24° 59′ 50.7″,Sagittarius,2.9
NGC 6553,18h 09m 17.60s,-25° 54′ 31.3″,Sagittarius,6.01
NGC 6558,18h 10m 17.80s,-31° 45′ 50.0″,Sagittarius,7.4
NGC 6569,18h 13m 38.80s,-31° 49′ 36.8″,Sagittarius,10.9
NGC 6584,18h 18m 37.60s,-52° 12′ 56.8″,Telescopium,13.6
NGC 6624,18h 23m 40.51s,-30° 21′ 39.9″,Sagittarius,7.91
NGC 6638,18h 30m 56.10s,-25° 29′ 50.9″,Sagittarius,9.4
NGC 6642,18h 31m 54.10s,-23° 28′ 32.8″,Sagittarius,8.1
NGC 6652,18h 35m 45.66s,-32° 59′ 25.8″,Sagittarius,10.0
NGC 6712,18h 53m 04.30s,-08° 42′ 22.0″,Scutum,8.1
NGC 6717,18h 55m 06.04s,-22° 42′ 04.1″,Sagittarius,7.1
NGC 6723,18h 59m 33.15s,-36° 37′ 56.1″,Sagittarius,8.7
NGC 6749,19h 05m 15.30s,+01° 54′ 03.0″,Aquila,7.9
NGC 6752,19h 10m 52.11s,-59° 59′ 02.2″,Pavo,4.0
NGC 6760,19h 11m 12.01s,+01° 01′ 49.8″,Aquila,7.4
NGC 6934,20h 34m 11.49s,+07° 24′ 15.5″,Delphinus,16.0
NGC 7006,21h 01m 29.38s,+16° 11′ 14.1″,Delphinus,42.0
NGC 7492,23h 08m 26.63s,-15° 36′ 41.4″,Aquarius,26.3
2MASS-GC01,18h 08m 21.81s,-19° 49′ 47.0″,Sagittarius,3.6
2MASS-GC02,18h 09m 36.50s,-20° 46′ 44″,Sagittarius,4.9
2MASS-GC03 (FSR 1735),16h 52m 10.6s,-47° 03′ 29″,Ara,9.8
2MASS-GC04 (FSR 1767),17h 35m 44.8s,-36° 21′ 42″,Scorpius,1.5
Arp-Madore 1,03h 55m 02.30s,-49° 36′ 55.0″,Horologium,123.3
Arp-Madore 4,13h 56m 21.70s,-27° 10′ 03.0″,Hydra,32.2
BH 140,12h 53m 00.3s,-67° 10′ 28″,Musca,
Camargo 1102,17h 21m 44.9s,-26° 32′ 40″,Ophiuchus,8.2
Camargo 1103,18h 06m 31.3s,-25° 09′ 42″,Sagittarius,5.0
Camargo 1104,18h 05m 14.2s,-24° 58′ 46″,Sagittarius,5.4
Camargo 1105,17h 36m 33.9s,-28° 18′ 39″,Ophiuchus,5.8
Camargo 1106,17h 32m 34.3s,-30° 16′ 48″,Scorpius,4.5
Camargo 1107,17h 36m 58.2s,-30° 08′ 50″,Scorpius,4.0
Camargo 1108,17h 46m 04.2s,-30° 51′ 53″,Scorpius,3.3
Camargo 1109,17h 47m 26.6s,-26° 38′ 52″,Sagittarius,4.3
DB 44,17h 46m 35.0s,-24° 53′ 28″,Sagittarius,8.0
Djorgovski 1,17h 47m 28.30s,-33° 03′ 56.0″,Scorpius,13.7
Djorgovski 2,18h 01m 49.1s,-27° 49′ 33″,Sagittarius,6.3
E 3 cluster,09h 20m 57.07s,-77° 16′ 54.8″,Chamaeleon,8.1
Eridanus globular cluster,04h 24m 44.5s,-21° 11′ 13″,Eridanus,90.0
ESO 224-8 (BH 176),15h 39m 07.45s,-50° 03′ 09.8″,Norma,18.9
ESO 280-SC06,18h 09m 06.0s,-46° 25′ 23″,Ara,21.4
ESO 393-12,17h 38m 37.6s,-35° 39′ 02″,Scorpius,8.2
ESO 452-SC 11,16h 39m 25.45s,-28° 23′ 55.3″,Scorpius,8.3
ESO 456-09,17h 53m 54.3s,-32° 27′ 58″,Scorpius,7.6
"ESO 456-78 (AL 3, BH 261)",18h 14m 06.60s,-28° 38′ 06.0″,Sagittarius,6.5
ESO 92-18,10h 14m 55.2s,-64° 36′ 40″,Carina,10.6
Ferrero 54,08h 33m 48.3s,-44° 26′ 49″,Vela,7.1
Gaia 1,06h 45m 52.8s,-16° 45′ 00″,Canis Major,4.6
Gaia 2,01h 52m 28.8s,+53° 02′ 24″,Perseus,4.91
Garro 1,14h 09m 00.0s,-65° 37′ 12″,Circinus,15.5
GLIMPSE-C01,18h 48m 49.7s,-01° 29′ 50″,Aquila,4.2
Gran 1,17h 58m 36.61s,-32° 01′ 10.72″,Norma,8.8
Gran 2,17h 11m 33.6s,-24° 50′ 56.4″,Ophiuchus,16.6
Gran 3 (Patchick 125),17h 05m 01.4s,-35° 29′ 45.6″,Scorpius,12.02
Gran 4,18h 32m 27.1s,-23° 06′ 50.4″,Sagittarius,22.49
Gran 5,17h 48m 54.7s,-24° 10′ 12.0″,Sagittarius,4.47
Haute-Provence 1 (HP 1),17h 31m 05.2s,-29° 58′ 54″,Ophiuchus,8.2
IC 1276 (Palomar 7),18h 10m 44.20s,-07° 12′ 27.4″,Serpens,5.4
Kim 1,22h 11m 41.3s,+07° 01′ 31.8″,Pegasus,19.8
Kim 2 (Indus I),21h 08m 49.97s,-51° 09′ 48.6″,Indus,105.0
Kim 3,13h 22m 45.2s,-30° 36′ 03.6″,Centaurus,15.14
Koposov 1,11h 59m 18.50s,+12° 15′ 36.0″,Virgo,48.3
Koposov 2,07h 58m 17.00s,+26° 15′ 18.0″,Gemini,33.7
